Index,System Time,Time Stamp,Channel,Direction,Frame ID,Type,Format,DLC,Data
01075,="15:13:03.684",0xCA0489,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 64 4E FD 00 07 
01076,="15:13:03.684",0xCA048F,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01077,="15:13:03.684",0xCA0495,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01078,="15:13:03.805",0xCA0870,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4D FC 00 07 
01079,="15:13:03.805",0xCA0876,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01080,="15:13:03.805",0xCA087C,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01081,="15:13:03.894",0xCA0C57,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4D FC 00 07 
01082,="15:13:03.894",0xCA0C5D,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01083,="15:13:03.894",0xCA0C63,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01084,="15:13:03.985",0xCA103D,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4E FC 00 07 
01085,="15:13:03.985",0xCA1043,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01086,="15:13:03.985",0xCA1049,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01087,="15:13:04.104",0xCA1425,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4E FC 00 07 
01088,="15:13:04.104",0xCA142B,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01089,="15:13:04.104",0xCA1430,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01090,="15:13:04.194",0xCA180C,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4E FC 00 07 
01091,="15:13:04.194",0xCA1812,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01092,="15:13:04.194",0xCA1817,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01093,="15:13:04.284",0xCA1BF3,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4D FC 00 07 
01094,="15:13:04.284",0xCA1BF8,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01095,="15:13:04.284",0xCA1BFE,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01096,="15:13:04.405",0xCA1FDA,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4E FC 00 07 
01097,="15:13:04.405",0xCA1FDF,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01098,="15:13:04.405",0xCA1FE5,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01099,="15:13:04.494",0xCA23C1,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4D FD 00 07 
01100,="15:13:04.494",0xCA23C6,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
